id,biomass,biomass_log,leaf_mass,leaf_mass_log,seed_mass,seed_mass_log,stem_mass,stem_mass_log,ht_flag,ht_flower,AmountC,AmountN,d13C,d15N,CN
257,0.37,-0.994252273343867,0.16,-1.83258146374831,0.15,-1.89711998488588,0.18,-1.71479842809193,12.6,25.6,1442.71152243711,96.9258400667218,NA,-1.04673775796962,14.8846945401141
258,0.62,-0.478035800943,0.03,-3.50655789731998,0.39,-0.941608539858445,0.2,-1.6094379124341,11.8,22.5,1467.63890719104,76.9093568516637,-37.9543197514529,-0.642133707625487,19.0827094032485
259,0.92,-0.083381608939051,0.11,-2.20727491318972,0.44,-0.82098055206983,0.37,-0.994252273343867,14.03,28.33,1546.75141355594,70.8836002773899,-38.0778442116286,-0.537187050084468,21.8210052466722
260,0.71,-0.342490308946776,0.19,-1.66073120682165,0.23,-1.46967597005894,0.3,-1.20397280432594,13.73,27.4,1391.76135936966,86.043229821597,-37.8815362303238,0.454578470107266,16.1751408246222
261,0.58,-0.544727175441672,0.03,-3.50655789731998,0.4,-0.916290731874155,0.15,-1.89711998488588,9.05,19.9,1582.93613703075,98.2276800338505,NA,-1.56768185083403,16.1149702047859
262,0.93,-0.0725706928348354,0.32,-1.13943428318836,0.37,-0.994252273343867,0.39,-0.941608539858445,13.23,27.2,1301.27342427636,80.1915700333488,-38.1010289176957,-1.3554472652471,16.2270600729628
263,1.49,0.398776119957368,0.52,-0.653926467406664,0.35,-1.04982212449868,0.61,-0.49429632181478,18.2,30.27,1293.1767313748,51.5012432088094,-37.8966745104061,0.259696319123611,25.1096216479994
264,0.31,-1.17118298150295,0.01,-4.60517018598809,0.21,-1.56064774826467,0.09,-2.40794560865187,9.1,18.93,1575.72656919072,78.7752553612549,-37.9318301213829,1.82438859734515,20.0028113138397
265,0.85,-0.162518929497775,0.1,-2.30258509299405,0.4,-0.916290731874155,0.35,-1.04982212449868,13.65,27.8,1590.3695870698,91.1813165217525,-38.3050053007137,-0.412932033846045,17.4418361977741
266,0.59,-0.527632742082372,0.33,-1.10866262452161,0.01,NA,0.44,-0.82098055206983,18.77,29.9,1602.65567039762,97.5036190863927,NA,-0.895264630273935,16.4368839373808
267,0.43,-0.843970070294529,0.12,-2.12026353620009,0.26,-1.34707364796661,0.2,-1.6094379124341,11.73,22.7,1441.31856300558,86.0169920345783,-37.4864814282056,-0.411262129819617,16.756207452897
268,0.21,-1.56064774826467,0.01,-4.60517018598809,0.14,-1.96611285637283,0.06,-2.81341071676004,10.1,22.7,NA,60.8619495527637,NA,-0.904292266718955,NA
269,0.43,-0.843970070294529,0.02,-3.91202300542815,0.27,-1.30933331998376,0.14,-1.96611285637283,8.27,20.57,1397.03654424134,80.0130646707223,-38.1507556573569,-1.06373363267883,17.4601054214154
270,0.69,-0.371063681390832,0.05,-2.99573227355399,0.42,-0.867500567704723,0.22,-1.51412773262978,11.93,24.63,1534.98652500347,89.6433207027177,-38.2705554090371,-0.433159451208772,17.1232671098153
271,0.52,-0.653926467406664,0.21,-1.56064774826467,0.3,-1.20397280432594,0.25,-1.38629436111989,10.83,24.4,1528.52433745638,104.030465053015,-37.2714253723458,-0.558848557608686,14.6930453178059
272,0.52,-0.653926467406664,0.05,-2.99573227355399,0.28,-1.27296567581289,0.2,-1.6094379124341,14.13,28.3,1362.11310271445,59.2110511966619,-37.3027039226425,-0.623271882265296,23.0043729200208
273,0.36,-1.02165124753198,0.02,-3.91202300542815,0.24,-1.42711635564015,0.1,-2.30258509299405,7.53,19.3,1377.69001328807,84.9255932826214,-37.5584418494318,0.634800265013355,16.2223183852633
274,0.37,-0.994252273343867,0.02,-3.91202300542815,0.23,-1.46967597005894,0.12,-2.12026353620009,12.8,24.2,1699.37407289565,113.768328424721,-37.2859501562119,-0.121541107727709,14.9371454817508
275,0.36,-1.02165124753198,0.02,-3.91202300542815,0.25,-1.38629436111989,0.09,-2.40794560865187,8.87,19.33,1334.58886878645,68.4288069058078,NA,-0.226239735830322,19.5033192763906
276,0.41,-0.891598119283784,0.02,-3.91202300542815,0.25,-1.38629436111989,0.15,-1.89711998488588,10.93,23.23,1288.5940747258,74.6933746273301,-38.0306218512222,-0.420911522745463,17.2517854649763
277,1.41,0.343589704390077,0.32,-1.13943428318836,0.41,-0.891598119283784,0.68,-0.385662480811985,20.57,35.3,NA,NA,NA,NA,NA
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,0.55,-0.59783700075562,0.18,-1.71479842809193,0.33,-1.10866262452161,0.29,-1.23787435600162,12.1,23.1,1406.93416893638,76.1642822317342,-37.5504279898595,0.9680640127613,18.4723616859632
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,0.89,-0.116533816255952,0.11,-2.20727491318972,0.43,-0.843970070294529,0.35,-1.04982212449868,15.23,27.2,1504.02804878197,82.7059817198857,-37.929852678493,0.251656460120431,18.185239054122
282,0.66,-0.415515443961666,0.12,-2.12026353620009,0.24,-1.42711635564015,0.3,-1.20397280432594,18.3,31.6,1644.13430822023,83.405799700637,-38.1342946827075,0.566107742866563,19.7124698057139
283,0.84,-0.174353387144778,0.27,-1.30933331998376,0.15,-1.89711998488588,0.42,-0.867500567704723,17.3,31.13,1574.8767881318,74.9312817152729,-37.2742730093522,-1.45526515695018,21.0176144339301
284,1.12,0.113328685307003,0.09,-2.40794560865187,NA,-0.446287102628419,0.39,-0.941608539858445,11.6,24.83,1479.81390525333,63.4049926934952,-38.0247016133941,0.0775266615209362,23.3390754006844
285,0.69,-0.371063681390832,0.04,-3.2188758248682,0.42,-0.867500567704723,0.22,-1.51412773262978,10.9,23.3,1512.71225785378,97.3461546785794,-37.5535591118137,0.292705501475752,15.5395173322305
286,0.52,-0.653926467406664,0.28,-1.27296567581289,0.32,-1.13943428318836,0.33,-1.10866262452161,14.53,20.5,1600.74694060278,72.9561128845529,-37.5034690471433,0.527547027078844,21.9412312047906
287,0.92,-0.083381608939051,0.4,-0.916290731874155,0.2,-1.6094379124341,0.42,-0.867500567704723,17.8,30.95,1457.96189140232,87.5978582868239,-37.7635854893554,-0.0424831586267185,16.6438075075817
